ISIN,Symbol,Client ID,Counterparty,Trading Venue,Currency,Country of Trade,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Margin Status,FX Rate Applied,Pricing Source,Settlement Date,Settlement Status
US501620010,TSLA,CID5952,Citibank,BATS,USD,UK,Pending,Yes,59976.99,Initial,Satisfied,1.1602,ICE,01-05-2024,Settled  
US694526427,META,CID1409,Citibank,NASDAQ,USD,US,Failed,Yes,20956.25,Variation,Failed,1.1108,Reuters,17-02-2024,Settled  
US175968059,ADBE,CID2310,Morgan Stanley,NYSE,USD,US,Pending,No,32426.89,Initial,Failed,0.914,ICE,09-03-2024,Pending  
US770637515,BABA,CID6407,JPMorgan,NYSE,USD,DE,Failed,No,13927.51,Initial,Pending,0.9922,Bloomberg,03-04-2024,Failed  
US938699428,NFLX,CID4902,Morgan Stanley,IEX,USD,UK,Pending,No,17891.26,Variation,Failed,1.1393,Reuters,14-04-2024,Failed  
US583013701,META,CID7854,Citibank,IEX,GBP,DE,Failed,Yes,25142.18,Initial,Satisfied,0.8812,Bloomberg,16-04-2024,Settled  
US464517856,GOOGL,CID6433,Morgan Stanley,NYSE,GBP,US,Pending,No,2599.61,Variation,Pending,1.0378,Reuters,23-03-2024,Failed  
US383384026,GOOGL,CID5894,Citibank,NYSE,USD,DE,Pending,No,66538.53,Initial,Pending,0.9376,Bloomberg,11-04-2024,Pending  
US383601522,AMZN,CID9332,Citibank,NYSE,GBP,UK,Pending,No,30870.73,Initial,Failed,1.0152,Bloomberg,01-04-2024,Failed  
US766912338,TSLA,CID5744,Citibank,BATS,GBP,UK,Completed,Yes,16842.46,Initial,Pending,1.0735,ICE,04-02-2024,Pending  
US718612067,NVDA,CID9155,Morgan Stanley,BATS,EUR,DE,Completed,No,13351.98,Initial,Failed,1.1454,Reuters,24-02-2024,Settled  
US235374676,NFLX,CID2487,Citibank,NASDAQ,GBP,US,Failed,No,2082.95,Variation,Failed,1.1355,ICE,24-03-2024,Settled  
US710788171,META,CID7150,JPMorgan,NYSE,GBP,DE,Pending,No,15636.88,Initial,Satisfied,0.9291,ICE,27-02-2024,Settled  
US575677747,MSFT,CID6795,Citibank,NYSE,USD,US,Pending,Yes,16315.68,Initial,Pending,0.813,Reuters,14-03-2024,Settled  
US929086540,META,CID4016,Citibank,IEX,GBP,UK,Pending,Yes,7752.75,Initial,Pending,0.9715,Bloomberg,11-01-2024,Settled  
US991344502,TSLA,CID1218,Citibank,NYSE,EUR,DE,Completed,Yes,35407.4,Variation,Satisfied,0.8812,Bloomberg,21-01-2024,Settled  
US912788835,AAPL,CID6949,Citibank,IEX,USD,DE,Failed,No,2796.2,Variation,Failed,0.9097,Reuters,30-04-2024,Settled  
US109512467,NVDA,CID7583,JPMorgan,NASDAQ,GBP,DE,Completed,Yes,12570.71,Variation,Satisfied,0.9951,Reuters,27-04-2024,Settled  
US538611928,AAPL,CID4194,Goldman Sachs,BATS,EUR,DE,Completed,Yes,5157.1,Initial,Failed,1.0879,Bloomberg,27-04-2024,Pending  
US288964237,ADBE,CID7821,Citibank,NASDAQ,GBP,DE,Failed,Yes,53843.89,Variation,Failed,1.1702,Bloomberg,07-03-2024,Settled  
US465065481,NFLX,CID9785,Citibank,NYSE,USD,US,Failed,No,49148.39,Variation,Satisfied,0.9602,Bloomberg,08-04-2024,Settled  
