Client ID,Currency Pair,Counterparty,Base Currency,Term Currency,Execution Venue,Product Type,Booking Location,Portfolio,Trade Source System,Custodian,Settlement Instructions,Netting Eligibility,KYC Status,Sanctions Screening,Settlement Currency,Cost Center,Expense Approval Status,Settlement Date,Settlement Method,Settlement Status
CID5490,AUD/USD,HSBC,AUD,USD,EBS,Forward,London,PORT4,Custom,BNY Mellon,Special,No,Completed,Clear,USD,FX_TRD_02,Approved,05-06-2025,Netting,Failed
CID6327,USD/INR,Deutsche,USD,INR,360T,Forward,New York,PORT4,Calypso,State Street,Urgent,Yes,Completed,Clear,INR,FX_OPS_01,Approved,16-05-2025,Wire,Failed
CID5055,USD/CHF,Citi,USD,CHF,Reuters,Spot,Singapore,PORT3,Custom,State Street,Special,No,Completed,Clear,CHF,FX_FIN_03,Approved,24-05-2025,Netting,Pending
CID9212,USD/JPY,BNP Paribas,USD,JPY,Reuters,Swap,Singapore,PORT3,Custom,BNY Mellon,Urgent,No,Completed,Clear,JPY,FX_TRD_02,Approved,15-05-2025,CLS,Pending
CID5716,GBP/USD,HSBC,GBP,USD,360T,Swap,London,PORT2,Murex,HSBC Custody,Special,No,Rejected,Pending Review,USD,FX_FIN_03,Rejected,25-05-2025,CLS,Pending
CID5828,AUD/USD,JPMorgan,AUD,USD,Bloomberg,Spot,Mumbai,PORT4,Custom,BNY Mellon,Special,No,Completed,Pending Review,USD,FX_FIN_03,Under Review,12-05-2025,Netting,Settled
CID8308,USD/JPY,HSBC,USD,JPY,EBS,Swap,Mumbai,PORT5,Murex,BNY Mellon,Standard,Yes,Completed,Clear,JPY,FX_OPS_01,Approved,23-05-2025,Netting,Pending
CID6681,GBP/USD,Deutsche,GBP,USD,360T,Forward,London,PORT2,Custom,State Street,Urgent,No,Completed,Pending Review,USD,FX_OPS_01,Rejected,15-05-2025,CLS,Settled
CID9711,AUD/USD,HSBC,AUD,USD,Bloomberg,Forward,Singapore,PORT2,Custom,BNY Mellon,Special,No,Completed,Flagged,USD,FX_OPS_01,Under Review,10-06-2025,Netting,Settled
CID7614,USD/INR,Deutsche,USD,INR,Bloomberg,Forward,Mumbai,PORT5,Summit,BNY Mellon,Urgent,Yes,Rejected,Flagged,INR,FX_FIN_03,Under Review,08-06-2025,CLS,Settled
CID4574,EUR/USD,Deutsche,EUR,USD,Reuters,Swap,Mumbai,PORT5,Summit,State Street,Standard,Yes,Pending,Flagged,USD,FX_OPS_01,Approved,19-05-2025,Netting,Pending
CID8633,EUR/USD,JPMorgan,EUR,USD,360T,Spot,Mumbai,PORT2,Summit,BNY Mellon,Standard,Yes,Pending,Clear,USD,FX_TRD_02,Approved,07-06-2025,CLS,Settled
CID6283,USD/JPY,JPMorgan,USD,JPY,360T,Forward,New York,PORT2,Summit,BNY Mellon,Standard,No,Completed,Flagged,JPY,FX_TRD_02,Rejected,29-05-2025,Wire,Pending
CID9297,EUR/USD,JPMorgan,EUR,USD,EBS,Spot,London,PORT2,Custom,State Street,Urgent,No,Completed,Clear,USD,FX_TRD_02,Under Review,27-05-2025,Wire,Pending
CID6377,AUD/USD,BNP Paribas,AUD,USD,Reuters,Spot,London,PORT3,Murex,State Street,Urgent,Yes,Completed,Clear,USD,FX_TRD_02,Approved,22-05-2025,CLS,Failed
CID9819,USD/JPY,Deutsche,USD,JPY,Bloomberg,Forward,New York,PORT1,Calypso,State Street,Urgent,Yes,Completed,Pending Review,JPY,FX_TRD_02,Under Review,02-06-2025,Wire,Settled
CID5143,EUR/USD,Citi,EUR,USD,Bloomberg,Swap,New York,PORT3,Custom,State Street,Standard,No,Pending,Pending Review,USD,FX_OPS_01,Rejected,10-06-2025,Wire,Pending
CID1449,EUR/USD,HSBC,EUR,USD,360T,Swap,Singapore,PORT2,Summit,State Street,Urgent,Yes,Rejected,Clear,USD,FX_FIN_03,Under Review,30-05-2025,Netting,Failed
CID4757,GBP/USD,HSBC,GBP,USD,360T,Spot,Mumbai,PORT2,Custom,JP Morgan,Standard,No,Completed,Flagged,USD,FX_FIN_03,Under Review,25-05-2025,Wire,Failed
CID7593,AUD/USD,Citi,AUD,USD,Bloomberg,Swap,Mumbai,PORT3,Custom,JP Morgan,Standard,No,Completed,Pending Review,USD,FX_FIN_03,Rejected,05-06-2025,Wire,Pending
CID9458,EUR/USD,Citi,EUR,USD,360T,Forward,London,PORT4,Custom,JP Morgan,Standard,Yes,Pending,Clear,USD,FX_OPS_01,Approved,15-05-2025,Netting,Pending
CID5110,USD/JPY,JPMorgan,USD,JPY,360T,Spot,Mumbai,PORT5,Summit,JP Morgan,Standard,No,Completed,Clear,JPY,FX_OPS_01,Rejected,02-06-2025,CLS,Pending
CID1461,AUD/USD,Deutsche,AUD,USD,Bloomberg,Forward,Mumbai,PORT5,Murex,HSBC Custody,Standard,Yes,Pending,Clear,USD,FX_FIN_03,Approved,07-06-2025,Netting,Pending
CID9511,USD/CHF,Citi,USD,CHF,Reuters,Spot,Singapore,PORT3,Summit,BNY Mellon,Urgent,No,Pending,Flagged,CHF,FX_TRD_02,Under Review,29-05-2025,CLS,Failed
CID9392,USD/CHF,BNP Paribas,USD,CHF,EBS,Spot,New York,PORT3,Calypso,State Street,Urgent,No,Rejected,Flagged,CHF,FX_OPS_01,Under Review,31-05-2025,CLS,Settled
CID9837,USD/INR,JPMorgan,USD,INR,EBS,Forward,Singapore,PORT3,Calypso,State Street,Standard,Yes,Pending,Clear,INR,FX_TRD_02,Under Review,14-05-2025,Netting,Failed
CID1101,USD/INR,Citi,USD,INR,EBS,Spot,London,PORT1,Calypso,State Street,Standard,Yes,Completed,Pending Review,INR,FX_FIN_03,Rejected,23-05-2025,Wire,Settled
CID3467,AUD/USD,BNP Paribas,AUD,USD,EBS,Spot,London,PORT3,Custom,State Street,Standard,No,Rejected,Flagged,USD,FX_FIN_03,Under Review,20-05-2025,CLS,Settled
CID6699,USD/JPY,Deutsche,USD,JPY,360T,Forward,New York,PORT4,Calypso,HSBC Custody,Urgent,No,Completed,Flagged,JPY,FX_TRD_02,Approved,07-06-2025,CLS,Failed
CID6653,EUR/USD,Citi,EUR,USD,360T,Swap,London,PORT5,Custom,BNY Mellon,Standard,Yes,Pending,Flagged,USD,FX_OPS_01,Rejected,02-06-2025,CLS,Pending
CID5106,USD/INR,JPMorgan,USD,INR,360T,Spot,Mumbai,PORT3,Calypso,State Street,Special,Yes,Rejected,Flagged,INR,FX_TRD_02,Under Review,13-05-2025,Wire,Pending
CID2450,EUR/USD,Deutsche,EUR,USD,EBS,Forward,New York,PORT3,Murex,State Street,Urgent,No,Rejected,Clear,USD,FX_FIN_03,Approved,30-05-2025,Netting,Settled
CID9385,EUR/USD,Deutsche,EUR,USD,Reuters,Forward,Singapore,PORT3,Custom,JP Morgan,Urgent,No,Rejected,Clear,USD,FX_OPS_01,Approved,20-05-2025,Wire,Failed
CID3536,USD/JPY,Citi,USD,JPY,Reuters,Swap,New York,PORT1,Calypso,HSBC Custody,Standard,Yes,Rejected,Pending Review,JPY,FX_FIN_03,Rejected,23-05-2025,CLS,Settled
CID6682,EUR/USD,Deutsche,EUR,USD,EBS,Spot,London,PORT2,Murex,JP Morgan,Urgent,Yes,Completed,Pending Review,USD,FX_OPS_01,Under Review,01-06-2025,Netting,Settled
CID6572,USD/CHF,Deutsche,USD,CHF,EBS,Swap,Singapore,PORT4,Summit,JP Morgan,Urgent,Yes,Completed,Flagged,CHF,FX_FIN_03,Under Review,26-05-2025,Wire,Settled
CID1816,EUR/USD,BNP Paribas,EUR,USD,EBS,Swap,Singapore,PORT4,Murex,State Street,Standard,No,Pending,Flagged,USD,FX_FIN_03,Rejected,25-05-2025,Netting,Failed
CID6675,GBP/USD,JPMorgan,GBP,USD,Reuters,Spot,Singapore,PORT4,Custom,BNY Mellon,Urgent,Yes,Pending,Flagged,USD,FX_OPS_01,Under Review,03-06-2025,Netting,Pending
CID4613,USD/CHF,BNP Paribas,USD,CHF,Reuters,Spot,New York,PORT1,Summit,JP Morgan,Urgent,No,Completed,Pending Review,CHF,FX_FIN_03,Approved,31-05-2025,CLS,Pending
CID8158,AUD/USD,Citi,AUD,USD,Reuters,Swap,Mumbai,PORT5,Murex,State Street,Urgent,Yes,Pending,Clear,USD,FX_FIN_03,Approved,13-05-2025,Wire,Settled
CID3741,GBP/USD,Citi,GBP,USD,EBS,Forward,New York,PORT5,Custom,JP Morgan,Standard,No,Rejected,Clear,USD,FX_FIN_03,Approved,16-05-2025,Netting,Failed
CID5213,AUD/USD,JPMorgan,AUD,USD,Reuters,Spot,New York,PORT2,Custom,HSBC Custody,Standard,No,Completed,Pending Review,USD,FX_FIN_03,Under Review,19-05-2025,Netting,Pending
CID1347,USD/INR,BNP Paribas,USD,INR,Bloomberg,Forward,Singapore,PORT1,Custom,State Street,Standard,Yes,Completed,Pending Review,INR,FX_OPS_01,Under Review,27-05-2025,Wire,Failed
CID9530,USD/INR,HSBC,USD,INR,Reuters,Swap,Mumbai,PORT3,Custom,JP Morgan,Standard,No,Pending,Flagged,INR,FX_FIN_03,Under Review,04-06-2025,Wire,Settled
CID5952,AUD/USD,JPMorgan,AUD,USD,360T,Swap,London,PORT4,Summit,JP Morgan,Urgent,No,Rejected,Flagged,USD,FX_FIN_03,Rejected,31-05-2025,CLS,Settled
CID1409,USD/INR,JPMorgan,USD,INR,Reuters,Spot,London,PORT5,Murex,JP Morgan,Urgent,No,Pending,Pending Review,INR,FX_OPS_01,Under Review,17-05-2025,Wire,Settled
CID2310,AUD/USD,Deutsche,AUD,USD,Bloomberg,Swap,London,PORT5,Murex,BNY Mellon,Special,Yes,Completed,Flagged,USD,FX_OPS_01,Approved,11-06-2025,CLS,Failed
CID6407,USD/CHF,HSBC,USD,CHF,Bloomberg,Swap,Singapore,PORT5,Calypso,BNY Mellon,Special,No,Pending,Pending Review,CHF,FX_FIN_03,Rejected,12-06-2025,CLS,Settled
CID4902,USD/JPY,BNP Paribas,USD,JPY,Bloomberg,Spot,New York,PORT4,Calypso,BNY Mellon,Urgent,Yes,Rejected,Flagged,JPY,FX_OPS_01,Approved,31-05-2025,Netting,Settled
CID7854,USD/CHF,Citi,USD,CHF,Bloomberg,Spot,New York,PORT4,Calypso,BNY Mellon,Standard,No,Completed,Pending Review,CHF,FX_TRD_02,Rejected,05-06-2025,Netting,Pending
CID6433,USD/JPY,Citi,USD,JPY,Bloomberg,Forward,Singapore,PORT1,Custom,State Street,Standard,Yes,Completed,Clear,JPY,FX_TRD_02,Rejected,17-05-2025,CLS,Failed
CID5894,AUD/USD,JPMorgan,AUD,USD,Bloomberg,Spot,London,PORT2,Summit,HSBC Custody,Standard,Yes,Rejected,Pending Review,USD,FX_OPS_01,Approved,23-05-2025,CLS,Pending
CID9332,GBP/USD,BNP Paribas,GBP,USD,EBS,Swap,London,PORT4,Custom,JP Morgan,Standard,Yes,Pending,Pending Review,USD,FX_OPS_01,Approved,22-05-2025,CLS,Settled
CID5744,EUR/USD,BNP Paribas,EUR,USD,EBS,Swap,London,PORT1,Custom,HSBC Custody,Urgent,Yes,Completed,Clear,USD,FX_OPS_01,Approved,17-05-2025,CLS,Failed
CID9155,USD/INR,Citi,USD,INR,360T,Forward,Mumbai,PORT3,Custom,BNY Mellon,Special,No,Pending,Pending Review,INR,FX_TRD_02,Rejected,17-05-2025,Wire,Settled
CID2487,GBP/USD,JPMorgan,GBP,USD,360T,Spot,New York,PORT3,Calypso,JP Morgan,Urgent,No,Rejected,Clear,USD,FX_OPS_01,Under Review,21-05-2025,Netting,Failed
CID7150,GBP/USD,HSBC,GBP,USD,Bloomberg,Spot,London,PORT2,Calypso,JP Morgan,Urgent,Yes,Rejected,Clear,USD,FX_OPS_01,Under Review,25-05-2025,CLS,Settled
CID6795,USD/INR,Deutsche,USD,INR,EBS,Spot,London,PORT5,Murex,HSBC Custody,Standard,Yes,Rejected,Flagged,INR,FX_FIN_03,Approved,01-06-2025,Netting,Failed
CID4016,GBP/USD,JPMorgan,GBP,USD,EBS,Swap,London,PORT2,Summit,HSBC Custody,Urgent,Yes,Completed,Pending Review,USD,FX_OPS_01,Rejected,25-05-2025,CLS,Failed
CID1218,USD/CHF,JPMorgan,USD,CHF,Bloomberg,Spot,New York,PORT4,Calypso,JP Morgan,Urgent,Yes,Pending,Clear,CHF,FX_OPS_01,Approved,22-05-2025,CLS,Failed
CID6949,USD/CHF,HSBC,USD,CHF,Bloomberg,Swap,Mumbai,PORT2,Summit,HSBC Custody,Special,No,Pending,Flagged,CHF,FX_TRD_02,Rejected,31-05-2025,CLS,Failed
CID7583,USD/INR,HSBC,USD,INR,360T,Forward,Mumbai,PORT1,Summit,State Street,Special,Yes,Pending,Pending Review,INR,FX_TRD_02,Under Review,19-05-2025,CLS,Settled
CID4194,USD/JPY,HSBC,USD,JPY,Reuters,Forward,Mumbai,PORT5,Summit,BNY Mellon,Urgent,No,Rejected,Flagged,JPY,FX_TRD_02,Under Review,24-05-2025,Netting,Pending
CID7821,EUR/USD,JPMorgan,EUR,USD,360T,Swap,New York,PORT1,Calypso,BNY Mellon,Special,No,Rejected,Pending Review,USD,FX_OPS_01,Rejected,20-05-2025,CLS,Settled
CID9785,USD/JPY,JPMorgan,USD,JPY,360T,Spot,London,PORT1,Custom,HSBC Custody,Special,No,Rejected,Pending Review,JPY,FX_FIN_03,Under Review,13-05-2025,CLS,Failed
